mic_id,theta_rad,overall_spl_db,harmonic_order,exact_freq_hz,spl_db,relative_spl_db
DJIMavic2Enterprise_Hover_1,0.0,59.428417756932895,1,97.0,32.71048044223489,0.0
DJIMavic2Enterprise_Hover_1,0.0,59.428417756932895,2,193.0,34.25230322247724,1.5418227802423488
DJIMavic2Enterprise_Hover_1,0.0,59.428417756932895,3,289.0,22.954663789283348,-9.755816652951541
DJIMavic2Enterprise_Hover_1,0.0,59.428417756932895,4,380.0,43.76227127093227,11.051790828697378
DJIMavic2Enterprise_Hover_1,0.0,59.428417756932895,5,471.0,30.313364786980905,-2.397115655253984
DJIMavic2Enterprise_Hover_1,0.0,59.428417756932895,6,578.0,37.108932392952426,4.398451950717536
DJIMavic2Enterprise_Hover_1,0.0,59.428417756932895,7,676.0,37.95344885808592,5.242968415851031
DJIMavic2Enterprise_Hover_1,0.0,59.428417756932895,8,771.0,39.73177010946428,7.021289667229389
DJIMavic2Enterprise_Hover_1,0.0,59.428417756932895,9,841.0,38.02636360517553,5.315883162940644
DJIMavic2Enterprise_Hover_1,0.0,59.428417756932895,10,954.0,35.44444860671403,2.733968164479144
DJIMavic2Enterprise_Hover_1,0.0,59.428417756932895,11,954.0,35.44444860671403,2.733968164479144
DJIMavic2Enterprise_Hover_1,0.0,59.428417756932895,12,1051.0,23.329479843221566,-9.381000599013323
DJIMavic2Enterprise_Hover_1,0.0,59.428417756932895,13,1257.0,17.38160392229093,-15.328876519943957
DJIMavic2Enterprise_Hover_1,0.0,59.428417756932895,14,1347.0,28.109875067267296,-4.600605374967593
DJIMavic2Enterprise_Hover_1,0.0,59.428417756932895,15,1347.0,28.109875067267296,-4.600605374967593
DJIMavic2Enterprise_Hover_2,0.3217505543966422,60.31887666680422,1,97.0,34.04605170692863,0.0
DJIMavic2Enterprise_Hover_2,0.3217505543966422,60.31887666680422,2,193.0,38.92827734376488,4.882225636836253
DJIMavic2Enterprise_Hover_2,0.3217505543966422,60.31887666680422,3,289.0,20.96554509170337,-13.08050661522526
DJIMavic2Enterprise_Hover_2,0.3217505543966422,60.31887666680422,4,386.0,39.93108387029415,5.885032163365523
DJIMavic2Enterprise_Hover_2,0.3217505543966422,60.31887666680422,5,471.0,28.934709304324052,-5.111342402604578
DJIMavic2Enterprise_Hover_2,0.3217505543966422,60.31887666680422,6,526.0,25.22441222178759,-8.821639485141041
DJIMavic2Enterprise_Hover_2,0.3217505543966422,60.31887666680422,7,676.0,22.888458826183808,-11.157592880744822
DJIMavic2Enterprise_Hover_2,0.3217505543966422,60.31887666680422,8,771.0,31.901158874373557,-2.1448928325550725
DJIMavic2Enterprise_Hover_2,0.3217505543966422,60.31887666680422,9,786.0,29.96179548940038,-4.0842562175282495
DJIMavic2Enterprise_Hover_2,0.3217505543966422,60.31887666680422,10,959.0,34.4912713937906,0.445219686861968
DJIMavic2Enterprise_Hover_2,0.3217505543966422,60.31887666680422,11,1014.0,35.92672026622258,1.8806685592939516
DJIMavic2Enterprise_Hover_2,0.3217505543966422,60.31887666680422,12,1145.0,31.4723885657984,-2.573663141130229
